question,description,follower_count,comment_count,answer_count,visits_count,updated_time
钟南山团队研发的机器人有哪些功能？,,0,0,0,19,2020-04-24 22:22:59
为什么我会觉得钟南山虚伪？,,1,0,0,2,2020-06-18 21:44:55
在线等，急！找一个网页，关于钟南山等人的五四特辑?,5.5号的时候我搜“五四”，搜到了关于钟南山等人的五四特辑。记得点进去后是一堆红底的图片，左边是他们的青年照片，右边用简洁的语言概括了他们青年立志，长大成就。有钟南山，屠呦呦，李兰娟等人。但我今天再搜怎么也找不到了，有谁当时保存图片了吗？或者从哪可以搜到？谢谢！在线等，急！,1,0,0,11,2020-05-30 19:44:00
给钟南山寄信寄到哪？,,1,0,0,8,2020-04-16 14:09:32
如何看待钟南山支持复学的相关讲话？,,1,0,0,8,2020-04-22 12:41:53
怎么看待钟南山等专家说可以复学？,,1,0,0,5,2020-04-22 17:20:54
钟南山指挥抗击疫情的功劳有多大？,,1,0,0,108,2020-05-15 18:24:43
特朗普急了！三顾茅庐邀请钟南山支援，为什么呢？,最近美国疫情大爆发，美国无能为力，想邀请钟南山支援，个人认为是个陷阱，1.因为美国各州是自治，可听可不听政府的话，各自为政。2.到了现在，美国确诊人数达40多万，还做不到封城，传染源都很难控制，无论找谁结果都一样。3.经济方面更不用说了，美国的消费是先洗未来钱，这样在疫情到来时会出现大量失业和破产人员，容易造成社会动荡。4.特朗普想连任就要在经济方面有所表现，现在他甚至还希望人们去工作，作为一个商人，以个人利益为重，他会听钟南山的建议吗？答案明显是否定。那他为什么还要三顾茅庐邀请钟南山支援呢？其实很简单，就是方便甩锅。以后出现不可测的问题就可以甩锅钟南山，而且他还可以向国民有个交代说我已经很努力了，并三顾茅庐邀请钟南山支援，但结果还是不好，甚至可以甩锅钟南山，说他没尽全力帮美国渡过难关。经过这么多天，也让我们清楚认识到不要脸的美国政客是多么可怕，为了甩锅，不用说道理，一切都是别人的错。因此，个人认为我国不用派人去美国，最多捐些物资给他们就可以了，记得前段时间，我们捐的物资被人说不合格，对这些西方国家，直接不要管他们，别给救疫物资给他，他们不会有感恩的心。,1,0,0,6,2020-04-10 12:50:08
为什么张文宏医生和钟南山院士说法不一致？,比如钟南山院士在某个采访中提到可以把隔离时间缩短到一周，到张文宏医生说病毒在体内可能维持三周？再比如钟南山院士说最终还是要靠疫苗，到张医生说不能靠疫苗？,2,0,0,58,2020-04-08 09:18:03
有钟南山院士在，广州医科大学会越来越优秀，你们说呢?, ,2,0,1,141,2020-06-28 12:50:00
钟南山钟老对中药的看法有什么可以黑的点吗？,西药的试验环节完整严密，相较之下中药的试验就略显单薄。本人对中医不吹不黑，但在知乎上浏览过很多对中药持负面看法的回答，觉得他们说的逻辑上都很有道理。希望各位中药负面看法资深持有者能列举下钟老对中药看法中可以黑的点？不是冒犯，真理愈辩愈明，本人对钟老的看法是真国士无双，只是出于探讨的目的提出这个问题。,2,0,0,486,2020-04-14 13:38:12
如何看待钟南山预计今冬明春新冠疫情仍会存在，大学生还能开学吗？,[cp]【#钟南山预计今冬明春新冠疫情仍会存在#】6月23日，钟南山院士在接受专访时表示，在“今冬明春”交际时，预计新冠肺炎疫情仍不会消失，但不会像第一波疫情出现这么大的暴发。必要时，短期的措施是需要的，如中小学停课、大学暂时不复课、航班减少这类短期措施，仍需采用强力措施控制病情不再发生。http://t.cn/A6LYIuRq [/cp] ,6,0,1,238,2020-06-23 23:08:01
钟南山院士是广州医科大学的灵魂人物，疫情过后，广州医科大学的地位会不会大幅度提升？,钟南山院士一直在广州医科大学和广州医科大学附属第一医院任职，其中呼吸疾病领域排名一直是全国第一。2020年广州市又把广州市脑科医院和广州市中医医院并入广州医科大学并更名为广州医科大学附属脑科医院和广州医科大学附属中医医院，大家估计广州医科大学的实力排名会不会提升,1,0,0,173,2020-04-05 12:32:29
像钟南山院士这样的医学大牛遇上医闹会怎么处理？,感觉好多医学生们都对自己的人生失去信心了，行业前辈们能给些建议吗？,2,0,1,37,2020-06-23 19:35:22
钟南山同志为新冠疫情都做了哪些具体的工作？,,2,1,0,163,2020-05-19 10:40:36
钟南山带货能力怎样？,,2,0,0,23,2020-06-07 12:43:07
如何看待钟南山表示:预计今冬明春疫情仍会存在?,一时半会儿消灭不了的病毒让我有些恐慌，还要不要增添物质的储存！你们已经屯了多少了？,1,0,0,17,2020-06-24 10:22:22
如何理解钟南山院士所说的&#34;肺纤维化是可逆的？&#34;？,,4,0,0,88,2020-04-04 18:11:17
怎么看待钟南山给安慕希打广告，是否合法？,团队对五百万使用的后续工作呢？,1,0,0,28,2020-05-18 17:57:12
如何看待网上有关钟南山的包袱或幽默?,一位博主说:“东南西北中的山，哪个山最帅？答:中南山。”评论两极分化，一派表示赞成，说的没错。一派劝诫应当谨言慎行，抖的机灵不太恰当。请问该如何看待这种情况？,1,0,0,17,2020-05-05 23:16:57
为什么知乎经常给我推荐一些黑钟南山的文章？,,1,0,0,9,2020-05-15 09:34:08
怎么看待钟南山支持复课？高校究竟合适复课？,现在大多省份已经确定了开学时间(不过也大多只确定了毕业年级)，实际上也有部分高校开学了，进行了全封闭式的管理，也有极少数高校决定本学期不返校，钟爷爷明确提到了复课会面临很多的困难，比如错峰上学，宿舍管理等等的问题，但是他认为也时候复课了，大家怎么看呢？,1,0,0,23,2020-04-22 13:48:06
钟南山团队研发的机器人有哪些功能？,,0,0,0,19,2020-04-24 22:22:59
为什么我会觉得钟南山虚伪？,,1,0,0,2,2020-06-18 21:44:55
在线等，急！找一个网页，关于钟南山等人的五四特辑?,5.5号的时候我搜“五四”，搜到了关于钟南山等人的五四特辑。记得点进去后是一堆红底的图片，左边是他们的青年照片，右边用简洁的语言概括了他们青年立志，长大成就。有钟南山，屠呦呦，李兰娟等人。但我今天再搜怎么也找不到了，有谁当时保存图片了吗？或者从哪可以搜到？谢谢！在线等，急！,1,0,0,11,2020-05-30 19:44:00
给钟南山寄信寄到哪？,,1,0,0,8,2020-04-16 14:09:32
如何看待钟南山支持复学的相关讲话？,,1,0,0,8,2020-04-22 12:41:53
怎么看待钟南山等专家说可以复学？,,1,0,0,5,2020-04-22 17:20:54
钟南山指挥抗击疫情的功劳有多大？,,1,0,0,108,2020-05-15 18:24:43
如何看待上海大胜口罩厂免费捐赠口罩给钟南山院士？,这家企业为什么会接到钟院士的订单？想了解一下来龙去脉。,2,0,0,60,2020-05-12 15:40:52
如何看待钟南山获得Being Edinbirgh奖?,,1,0,0,5,2020-04-02 18:14:22
钟南山的跑步机上行走锻炼内脏是什么原理？,,2,0,1,13,2020-06-20 16:20:38
钟南山院长在疫情中有哪些重要贡献？,如题，求科普，喷子键盘侠袞粗？疫情期间一直被钟老刷屏，但是不了解该生平事迹，求大佬小小的科普下，,1,0,0,23,2020-04-02 00:11:34
钟南山院士是否能获得今年的诺贝尔奖项？,,1,0,0,5,2020-05-07 16:34:45
如何评价袁隆平和钟南山衣食无忧?,,0,0,0,7,2020-05-30 13:41:22
如何看待微博一些人它们骂钟南山?,,1,0,0,8,2020-05-31 13:44:34
4.24钟南山向中国航天送上祝福，你怎么看待这50年来中国航天事业的发展？,4月24日，是第五个中国航天日。钟南山院士向中国航天送去祝福：祝愿祖国航天事业蓬勃发展，蒸蒸日上，不断突破创新！,1,0,0,6,2020-04-24 12:18:11
如果看待钟南山被黑？,就是因为中药？别忘了钟南山一开始并不认可中药，证实药物有效之后，就被各种阴谋论绑架利益相关，政治治疗。,1,0,0,72,2020-05-14 16:57:12
如何评价钟南山周边火了?,,0,0,0,4,2020-04-12 14:25:42
如何向小朋友介绍钟南山爷爷呢？,,2,0,0,157,2020-04-01 15:02:59
有钟南山院士在，广州医科大学会越来越优秀，你们说呢?, ,2,0,1,141,2020-06-28 12:50:00
钟南山钟老对中药的看法有什么可以黑的点吗？,西药的试验环节完整严密，相较之下中药的试验就略显单薄。本人对中医不吹不黑，但在知乎上浏览过很多对中药持负面看法的回答，觉得他们说的逻辑上都很有道理。希望各位中药负面看法资深持有者能列举下钟老对中药看法中可以黑的点？不是冒犯，真理愈辩愈明，本人对钟老的看法是真国士无双，只是出于探讨的目的提出这个问题。,2,0,0,486,2020-04-14 13:38:12
如何看待钟南山预计今冬明春新冠疫情仍会存在，大学生还能开学吗？,[cp]【#钟南山预计今冬明春新冠疫情仍会存在#】6月23日，钟南山院士在接受专访时表示，在“今冬明春”交际时，预计新冠肺炎疫情仍不会消失，但不会像第一波疫情出现这么大的暴发。必要时，短期的措施是需要的，如中小学停课、大学暂时不复课、航班减少这类短期措施，仍需采用强力措施控制病情不再发生。http://t.cn/A6LYIuRq [/cp] ,6,0,1,238,2020-06-23 23:08:01
钟南山院士是广州医科大学的灵魂人物，疫情过后，广州医科大学的地位会不会大幅度提升？,钟南山院士一直在广州医科大学和广州医科大学附属第一医院任职，其中呼吸疾病领域排名一直是全国第一。2020年广州市又把广州市脑科医院和广州市中医医院并入广州医科大学并更名为广州医科大学附属脑科医院和广州医科大学附属中医医院，大家估计广州医科大学的实力排名会不会提升,1,0,0,173,2020-04-05 12:32:29
像钟南山院士这样的医学大牛遇上医闹会怎么处理？,感觉好多医学生们都对自己的人生失去信心了，行业前辈们能给些建议吗？,2,0,1,37,2020-06-23 19:35:22
钟南山同志为新冠疫情都做了哪些具体的工作？,,2,1,0,163,2020-05-19 10:40:36
钟南山带货能力怎样？,,2,0,0,23,2020-06-07 12:43:07
如何看待钟南山表示:预计今冬明春疫情仍会存在?,一时半会儿消灭不了的病毒让我有些恐慌，还要不要增添物质的储存！你们已经屯了多少了？,1,0,0,17,2020-06-24 10:22:22
如何理解钟南山院士所说的&#34;肺纤维化是可逆的？&#34;？,,4,0,0,88,2020-04-04 18:11:17
怎么看待钟南山给安慕希打广告，是否合法？,团队对五百万使用的后续工作呢？,1,0,0,28,2020-05-18 17:57:12
如何看待网上有关钟南山的包袱或幽默?,一位博主说:“东南西北中的山，哪个山最帅？答:中南山。”评论两极分化，一派表示赞成，说的没错。一派劝诫应当谨言慎行，抖的机灵不太恰当。请问该如何看待这种情况？,1,0,0,17,2020-05-05 23:16:57
为什么知乎经常给我推荐一些黑钟南山的文章？,,1,0,0,9,2020-05-15 09:34:08
怎么看待钟南山支持复课？高校究竟合适复课？,现在大多省份已经确定了开学时间(不过也大多只确定了毕业年级)，实际上也有部分高校开学了，进行了全封闭式的管理，也有极少数高校决定本学期不返校，钟爷爷明确提到了复课会面临很多的困难，比如错峰上学，宿舍管理等等的问题，但是他认为也时候复课了，大家怎么看呢？,1,0,0,23,2020-04-22 13:48:06
钟南山团队研发的机器人有哪些功能？,,0,0,0,19,2020-04-24 22:22:59
为什么我会觉得钟南山虚伪？,,1,0,0,2,2020-06-18 21:44:55
在线等，急！找一个网页，关于钟南山等人的五四特辑?,5.5号的时候我搜“五四”，搜到了关于钟南山等人的五四特辑。记得点进去后是一堆红底的图片，左边是他们的青年照片，右边用简洁的语言概括了他们青年立志，长大成就。有钟南山，屠呦呦，李兰娟等人。但我今天再搜怎么也找不到了，有谁当时保存图片了吗？或者从哪可以搜到？谢谢！在线等，急！,1,0,0,11,2020-05-30 19:44:00
给钟南山寄信寄到哪？,,1,0,0,8,2020-04-16 14:09:32
如何看待钟南山支持复学的相关讲话？,,1,0,0,8,2020-04-22 12:41:53
怎么看待钟南山等专家说可以复学？,,1,0,0,5,2020-04-22 17:20:54
钟南山指挥抗击疫情的功劳有多大？,,1,0,0,108,2020-05-15 18:24:43
如何看待上海大胜口罩厂免费捐赠口罩给钟南山院士？,这家企业为什么会接到钟院士的订单？想了解一下来龙去脉。,2,0,0,60,2020-05-12 15:40:52
如何看待钟南山获得Being Edinbirgh奖?,,1,0,0,5,2020-04-02 18:14:22
钟南山的跑步机上行走锻炼内脏是什么原理？,,2,0,1,13,2020-06-20 16:20:38
钟南山院长在疫情中有哪些重要贡献？,如题，求科普，喷子键盘侠袞粗？疫情期间一直被钟老刷屏，但是不了解该生平事迹，求大佬小小的科普下，,1,0,0,23,2020-04-02 00:11:34
钟南山院士是否能获得今年的诺贝尔奖项？,,1,0,0,5,2020-05-07 16:34:45
如何评价袁隆平和钟南山衣食无忧?,,0,0,0,7,2020-05-30 13:41:22
如何看待微博一些人它们骂钟南山?,,1,0,0,8,2020-05-31 13:44:34
4.24钟南山向中国航天送上祝福，你怎么看待这50年来中国航天事业的发展？,4月24日，是第五个中国航天日。钟南山院士向中国航天送去祝福：祝愿祖国航天事业蓬勃发展，蒸蒸日上，不断突破创新！,1,0,0,6,2020-04-24 12:18:11
如果看待钟南山被黑？,就是因为中药？别忘了钟南山一开始并不认可中药，证实药物有效之后，就被各种阴谋论绑架利益相关，政治治疗。,1,0,0,72,2020-05-14 16:57:12
如何评价钟南山周边火了?,,0,0,0,4,2020-04-12 14:25:42
如何向小朋友介绍钟南山爷爷呢？,,2,0,0,157,2020-04-01 15:02:59
钟南山怕谁？,钟南山怕瘟疫吗？,1,0,0,5,2020-06-19 10:32:29
观看钟南山，李兰娟院士开学寄语，怎样写一篇600多字的作文？,,2,0,0,185,2020-04-12 21:27:36
