question,description,follower_count,comment_count,answer_count,visits_count,updated_time
英雄联盟匹配机制是什么？,@英雄联盟 可以回答一下详细数据吗可以吗可以吗,0,0,0,18,2020-05-26 23:29:49
英雄联盟新手如何入门?,刚玩英雄联盟，希望有大神说一下如何入门，讲一下分路，英雄，补刀，插眼，装备等一些问题吗？,1,0,0,5,2020-04-28 15:50:22
英雄联盟pfs低怎么办？, 大佬们帮我看看我这玩英雄联盟开始还好 玩着玩着就fps就很低 该换什么？,1,0,0,16,2020-05-01 20:48:07
假如你是英雄联盟玩家？,假如电锯老头捉了10个英雄联盟玩家，让10个玩家自由选英雄，谁的英雄死亡一次玩家就会消失，让接下来的游戏成4v5，那边基地爆了那边的玩家也会全部消失，如果你是其中一个玩家怎么选英雄活到最后,1,0,0,6,2020-05-20 12:48:17
英雄联盟如何上王者?,本人8年英雄联盟玩家，从白银一直玩到钻石目前真实水平二区钻三钻四左右只会努努打野，能控图懂支援能舍弃还能混一手辅助想圆自己一个王者梦，亲眼看到自己的号出王者动画就完梦代打，车队，组排，郊区王者都可以，钱不是太离谱也可以接受求个方法，蟹蟹大佬们,1,0,0,18,2020-04-04 01:56:38
英雄联盟怎么显示失控时间?,以前英雄联盟可以设置比如控制了，有一个白条会在人物上面，现在s10请问这个选项在哪儿？ ,1,0,0,64,2020-04-10 07:37:07
英雄联盟里面的容错率到底是什么意思?,英雄联盟里的容错率是可以“容忍你犯错的次数”还是“容易犯错的几率”这俩可是完全相反的意思网上什么解释都有 有没有懂得解释一下,3,0,2,39,2020-06-25 17:20:16
情侣玩英雄联盟一定要走下路么？,本人玩英雄联盟有几年了，一直玩上中偶尔打野，从来不碰下路，水平不高，段位是癌症晚期，属于竞技心不强的玩家。但是女朋友说情侣一起玩一定要包下，别人都是这样的，可我真的不会下路，她辅助水平不错，在这个段位不比对面差很多，但是我们下路把把被打爆，一点游戏体验都没有，我好痛苦，觉得这个游戏一点意思都没有了，请问各位大佬情侣玩英雄联盟一定要包下么？,2,0,1,13,2020-06-22 12:34:08
英雄联盟的服务器延迟为什么相对比较低？,相比较其他游戏距离离得远一点连接到服务器的延迟就是几十上百，英雄联盟是怎么做到全国大多数地区到任一大区延迟70以内的？点名批评有些国服比外服开加速器延迟还高的游戏,2,0,0,20,2020-06-24 10:36:43
对于英雄联盟的持续发展来说，怎么样处理英雄和游戏发展的关系好？,现在英雄联盟对于新英雄的更新频率对比以前有降低，我很好奇对于英雄联盟接下来的发展来说，是像把猴子阿卡丽这样的英雄来一波重做加强对未来好？还是说推出月男猫咪塞拉斯派克这些机制特殊的英雄对于游戏的发展更优？,1,0,0,24,2020-05-28 22:05:23
英雄联盟中，大虫子吃新稻草人的被动草间人会怎么样？,英雄联盟中，大虫子吃 新稻草人的被动草间人 会算吃了英雄还是什么？,1,0,0,32,2020-06-27 00:30:00
王者荣耀为什么不能把铭文系统改成和英雄联盟一样的？,王者最最难的就是集铭文，那为什么不改成和英雄联盟那样的，每升一级可解锁一个铭文，这样还可以大大降低升级铭文的时间。,3,0,2,18,2020-06-29 07:39:55
英雄联盟对我们人生有什么启发？,我是英雄联盟S2末，S3初期开始接触英雄联盟的，这个游戏其实非常有意思，它不仅考验着我们的大脑，同时还考验着手速（单身20年的都很猛）。 这个游戏曾经一度通宵上分，那时候还是积分制，没有段位，一致徘徊在1800分左右。后来有了段位，经过无数个日夜的奋战，也才打到了三区钻五的段位。 后来毕业了，慢慢的，英雄联盟淡出了我生活，但是，回头想想，英雄联盟其实也给了我们一些人生的启发： 首先，英雄联盟是竞技类游戏，好比咱们找工作时候的激烈竞争，有实力的选手才能走上更高的段位，生活中也是如此，有本事的人才能应聘到跟高薪酬的岗位。 其次，在游戏中，我们通过不断的补兵升级，回城更新装备，来使我们的英雄更富有战斗力；而生活中其实也是这样，要通过不断的学习和积累工作经验，来提高我们的收入和职位的晋升。 最后，推倒敌方水晶才能获得游戏胜利，而这需要五个人的配合，共同的朝向一个目标去努力，才能使游戏推向胜利；而生活工作中，我们也成为一个团队，向着同一个目标努力着，最终一起完成这个目标。 游戏犹如生活，生活也充满戏剧，我们热爱电子竞技，同样也热爱生活，那么你们从游戏中还获取到了哪些人生启发呢？,2,0,1,16,2020-06-29 12:48:50
￼英雄联盟，这个应该问题怎么解决?,英雄联盟，这个应该问题怎么解决?,1,0,0,17,2020-05-01 15:52:16
为什么现在英雄联盟总会出现一些掉分脚本？,为什么现在英雄联盟？总是有一些人鸡鸭，脚本呢？是因为没有人玩啊，还是怎样？游戏体验真差。一盘两脚本。而且一看就是同样的东西。同样的软件。,1,0,0,18,2020-05-31 20:12:13
英雄联盟mvp判定是否有问题？,我是个铂金段位的玩家，常驻打中单，总感觉自己是英雄联盟中是全场节奏的带动者，但是最后的mvp总不是我，甚至评分也不太高，我想知道评分系统的判定是否有什么问题。,1,0,2,1337,2020-06-27 12:54:28
英雄联盟的装备音效文件在哪个文件夹？,例如 开幽梦时候的音效，想用作短信音。哪里能下载文件，或者英雄联盟文件里面在哪个文件夹,1,0,0,5,2020-05-23 14:25:07
为什么学习通后台偷偷打开掌上英雄联盟？,如图所示，只要打开学习通就会显示启动掌上英雄联盟。而且打开掌上英雄联盟会启动学习通。 ,3,0,2,31,2020-06-27 21:05:26
如何看待英雄联盟的医生系列皮肤?,前段时间看有人问王者荣耀会不会出关于疫情的皮肤，好多人说会被到打不进去，那英雄联盟呢？,1,0,0,26,2020-06-13 21:35:32
以英雄联盟为原型作短片侵权吗?,想做一个关于英雄联盟都恶搞短片，这样是不是要英雄联盟的授权才可以,1,0,0,6,2020-04-29 21:14:02
英雄联盟中服务器的刷新速度？,"本人在这领域几乎是小白，不过我敢肯定，这种即时游戏的服务器应该有一个刷新时间，一个刷新速度，肯定是处理一个个时间断面的。。。想请教大佬这方面的问题。。。纯属好奇，因为我看到英雄联盟观战时的延迟是7ms,看到这个数字我就突然悟了，刷新时间就是7ms吗？",1,0,0,10,2020-06-17 14:13:55
英雄联盟中如何让数据、评分好看？,平常和朋友经常打打英雄联盟，但他们总拿数据说话，就算好的操作也会被称为有手就行，所以只是想问一下如何打出一个优秀的数据，即使对整个队伍没有好处。挺反感的，但也没有办法,2,0,0,54,2020-04-15 14:48:12
英雄联盟手游怎么下载游戏？,今天早上收到英雄联盟官方发来的邮件 如下图 怎么下载游戏啊 ,1,0,0,84,2020-04-28 11:44:13
英雄联盟预约资格？,英雄联盟手游发的邮件是啥意思啊？,1,0,0,11,2020-06-19 17:40:49
英雄联盟排位有机器人?,为什么英雄联盟排位还有机器人啊 为什么我一页svp了还要来折磨我 为什么要排个机器人来恶心我啊 这**系统也太挤吧恶心了吧 学习王者农药呢？ 不是给我排机器人就是给我排连败的 刚好查对面战绩都是连胜我这边队友连败？ 为什么啊 让我戒网 让我退游呗 你英雄联盟没有几个人玩了再这么恶心下去 我真受不了了 @英雄联盟 ,1,0,0,40,2020-05-08 18:52:40
情侣玩英雄联盟一定要走下路么？,本人玩英雄联盟有几年了，一直玩上中偶尔打野，从来不碰下路，水平不高，段位是癌症晚期，属于竞技心不强的玩家。但是女朋友说情侣一起玩一定要包下，别人都是这样的，可我真的不会下路，她辅助水平不错，在这个段位不比对面差很多，但是我们下路把把被打爆，一点游戏体验都没有，我好痛苦，觉得这个游戏一点意思都没有了，请问各位大佬情侣玩英雄联盟一定要包下么？,2,0,1,13,2020-06-22 12:34:08
英雄联盟里面的容错率到底是什么意思?,英雄联盟里的容错率是可以“容忍你犯错的次数”还是“容易犯错的几率”这俩可是完全相反的意思网上什么解释都有 有没有懂得解释一下,3,0,2,39,2020-06-25 17:20:16
英雄联盟的服务器延迟为什么相对比较低？,相比较其他游戏距离离得远一点连接到服务器的延迟就是几十上百，英雄联盟是怎么做到全国大多数地区到任一大区延迟70以内的？点名批评有些国服比外服开加速器延迟还高的游戏,2,0,0,20,2020-06-24 10:36:43
英雄联盟中，大虫子吃新稻草人的被动草间人会怎么样？,英雄联盟中，大虫子吃 新稻草人的被动草间人 会算吃了英雄还是什么？,1,0,0,32,2020-06-27 00:30:00
王者荣耀为什么不能把铭文系统改成和英雄联盟一样的？,王者最最难的就是集铭文，那为什么不改成和英雄联盟那样的，每升一级可解锁一个铭文，这样还可以大大降低升级铭文的时间。,3,0,2,18,2020-06-29 07:39:55
英雄联盟的装备音效文件在哪个文件夹？,例如 开幽梦时候的音效，想用作短信音。哪里能下载文件，或者英雄联盟文件里面在哪个文件夹,1,0,0,5,2020-05-23 14:25:07
对于英雄联盟的持续发展来说，怎么样处理英雄和游戏发展的关系好？,现在英雄联盟对于新英雄的更新频率对比以前有降低，我很好奇对于英雄联盟接下来的发展来说，是像把猴子阿卡丽这样的英雄来一波重做加强对未来好？还是说推出月男猫咪塞拉斯派克这些机制特殊的英雄对于游戏的发展更优？,1,0,0,24,2020-05-28 22:05:23
英雄联盟mvp判定是否有问题？,我是个铂金段位的玩家，常驻打中单，总感觉自己是英雄联盟中是全场节奏的带动者，但是最后的mvp总不是我，甚至评分也不太高，我想知道评分系统的判定是否有什么问题。,1,0,2,1337,2020-06-27 12:54:28
为什么学习通后台偷偷打开掌上英雄联盟？,如图所示，只要打开学习通就会显示启动掌上英雄联盟。而且打开掌上英雄联盟会启动学习通。 ,3,0,2,31,2020-06-27 21:05:26
英雄联盟对我们人生有什么启发？,我是英雄联盟S2末，S3初期开始接触英雄联盟的，这个游戏其实非常有意思，它不仅考验着我们的大脑，同时还考验着手速（单身20年的都很猛）。 这个游戏曾经一度通宵上分，那时候还是积分制，没有段位，一致徘徊在1800分左右。后来有了段位，经过无数个日夜的奋战，也才打到了三区钻五的段位。 后来毕业了，慢慢的，英雄联盟淡出了我生活，但是，回头想想，英雄联盟其实也给了我们一些人生的启发： 首先，英雄联盟是竞技类游戏，好比咱们找工作时候的激烈竞争，有实力的选手才能走上更高的段位，生活中也是如此，有本事的人才能应聘到跟高薪酬的岗位。 其次，在游戏中，我们通过不断的补兵升级，回城更新装备，来使我们的英雄更富有战斗力；而生活中其实也是这样，要通过不断的学习和积累工作经验，来提高我们的收入和职位的晋升。 最后，推倒敌方水晶才能获得游戏胜利，而这需要五个人的配合，共同的朝向一个目标去努力，才能使游戏推向胜利；而生活工作中，我们也成为一个团队，向着同一个目标努力着，最终一起完成这个目标。 游戏犹如生活，生活也充满戏剧，我们热爱电子竞技，同样也热爱生活，那么你们从游戏中还获取到了哪些人生启发呢？,2,0,1,16,2020-06-29 12:48:50
如何看待英雄联盟的医生系列皮肤?,前段时间看有人问王者荣耀会不会出关于疫情的皮肤，好多人说会被到打不进去，那英雄联盟呢？,1,0,0,26,2020-06-13 21:35:32
以英雄联盟为原型作短片侵权吗?,想做一个关于英雄联盟都恶搞短片，这样是不是要英雄联盟的授权才可以,1,0,0,6,2020-04-29 21:14:02
英雄联盟中服务器的刷新速度？,"本人在这领域几乎是小白，不过我敢肯定，这种即时游戏的服务器应该有一个刷新时间，一个刷新速度，肯定是处理一个个时间断面的。。。想请教大佬这方面的问题。。。纯属好奇，因为我看到英雄联盟观战时的延迟是7ms,看到这个数字我就突然悟了，刷新时间就是7ms吗？",1,0,0,10,2020-06-17 14:13:55
为什么现在英雄联盟总会出现一些掉分脚本？,为什么现在英雄联盟？总是有一些人鸡鸭，脚本呢？是因为没有人玩啊，还是怎样？游戏体验真差。一盘两脚本。而且一看就是同样的东西。同样的软件。,1,0,0,18,2020-05-31 20:12:13
￼英雄联盟，这个应该问题怎么解决?,英雄联盟，这个应该问题怎么解决?,1,0,0,17,2020-05-01 15:52:16
英雄联盟中如何让数据、评分好看？,平常和朋友经常打打英雄联盟，但他们总拿数据说话，就算好的操作也会被称为有手就行，所以只是想问一下如何打出一个优秀的数据，即使对整个队伍没有好处。挺反感的，但也没有办法,2,0,0,54,2020-04-15 14:48:12
英雄联盟手游怎么下载游戏？,今天早上收到英雄联盟官方发来的邮件 如下图 怎么下载游戏啊 ,1,0,0,84,2020-04-28 11:44:13
英雄联盟预约资格？,英雄联盟手游发的邮件是啥意思啊？,1,0,0,11,2020-06-19 17:40:49
英雄联盟，电脑游戏，卡?,电脑有四五年了吧，当时买时候要求就是，联盟不卡，而且，听说联盟对配置要求不高。但是，为何现在玩一会就感觉卡卡卡呢，配置请大神们看下，是配置问题，还是哪里需要设置一下，这个没问题吧？,1,0,0,1,2020-06-28 15:45:34
男朋友不喜欢英雄联盟怎么办?,本人lol爱好者，女。曾经一度想让男朋友陪我玩，但男朋友尝试了大约一个下午后，以鼠标键位无法移动，新手体验不友好，对线期太久等等理由拒绝练习英雄联盟。我建议男票先用简单的法师类练手，但男票要用锐雯ez，然后说要自己走a，这样以至于可能上手太难所以导致放弃。他说他要玩就玩最强的但是他又找到很多理由说这个游戏不友好。有什么让男票可以快速入门并喜欢英雄联盟的方法？真的很希望能一起遨游峡谷,1,0,0,22,2020-04-27 01:32:50
英雄联盟裁决之镰不管大乱斗挂机玩家？,想玩玩英雄联盟，但没有精力去打峡谷了，很长一段时间就是打打大乱斗消遣一下，可最近每隔两三盘就遇见一个挂机玩家，裁决之镰的人都还活着吧？,6,0,5,103,2020-06-22 15:29:06
关于英雄联盟作者入驻?,英雄联盟作者入驻发表的视频或者图文，如何给给玩家浏览或者评论,1,0,0,6,2020-05-19 00:27:08
有没有英雄联盟的搞笑时刻？,求英雄联盟的下饭操作，最好是录屏的，清楚点的，是自己遇到的，不要网上发过的VX：19866616248,1,0,0,3,2020-05-13 22:51:24
讯飞输入法怎么在英雄联盟中打字？,经经常需要用讯飞输入法的语音输入。但是在英雄联盟中讯飞输入法语音输入又打不出来。,2,0,0,189,2020-05-01 13:54:26
情侣玩英雄联盟一定要走下路么？,本人玩英雄联盟有几年了，一直玩上中偶尔打野，从来不碰下路，水平不高，段位是癌症晚期，属于竞技心不强的玩家。但是女朋友说情侣一起玩一定要包下，别人都是这样的，可我真的不会下路，她辅助水平不错，在这个段位不比对面差很多，但是我们下路把把被打爆，一点游戏体验都没有，我好痛苦，觉得这个游戏一点意思都没有了，请问各位大佬情侣玩英雄联盟一定要包下么？,2,0,1,13,2020-06-22 12:34:08
英雄联盟里面的容错率到底是什么意思?,英雄联盟里的容错率是可以“容忍你犯错的次数”还是“容易犯错的几率”这俩可是完全相反的意思网上什么解释都有 有没有懂得解释一下,3,0,2,39,2020-06-25 17:20:16
英雄联盟的服务器延迟为什么相对比较低？,相比较其他游戏距离离得远一点连接到服务器的延迟就是几十上百，英雄联盟是怎么做到全国大多数地区到任一大区延迟70以内的？点名批评有些国服比外服开加速器延迟还高的游戏,2,0,0,20,2020-06-24 10:36:43
英雄联盟中，大虫子吃新稻草人的被动草间人会怎么样？,英雄联盟中，大虫子吃 新稻草人的被动草间人 会算吃了英雄还是什么？,1,0,0,32,2020-06-27 00:30:00
王者荣耀为什么不能把铭文系统改成和英雄联盟一样的？,王者最最难的就是集铭文，那为什么不改成和英雄联盟那样的，每升一级可解锁一个铭文，这样还可以大大降低升级铭文的时间。,3,0,2,18,2020-06-29 07:39:55
英雄联盟的装备音效文件在哪个文件夹？,例如 开幽梦时候的音效，想用作短信音。哪里能下载文件，或者英雄联盟文件里面在哪个文件夹,1,0,0,5,2020-05-23 14:25:07
对于英雄联盟的持续发展来说，怎么样处理英雄和游戏发展的关系好？,现在英雄联盟对于新英雄的更新频率对比以前有降低，我很好奇对于英雄联盟接下来的发展来说，是像把猴子阿卡丽这样的英雄来一波重做加强对未来好？还是说推出月男猫咪塞拉斯派克这些机制特殊的英雄对于游戏的发展更优？,1,0,0,24,2020-05-28 22:05:23
英雄联盟mvp判定是否有问题？,我是个铂金段位的玩家，常驻打中单，总感觉自己是英雄联盟中是全场节奏的带动者，但是最后的mvp总不是我，甚至评分也不太高，我想知道评分系统的判定是否有什么问题。,1,0,2,1337,2020-06-27 12:54:28
为什么学习通后台偷偷打开掌上英雄联盟？,如图所示，只要打开学习通就会显示启动掌上英雄联盟。而且打开掌上英雄联盟会启动学习通。 ,3,0,2,31,2020-06-27 21:05:26
英雄联盟对我们人生有什么启发？,我是英雄联盟S2末，S3初期开始接触英雄联盟的，这个游戏其实非常有意思，它不仅考验着我们的大脑，同时还考验着手速（单身20年的都很猛）。 这个游戏曾经一度通宵上分，那时候还是积分制，没有段位，一致徘徊在1800分左右。后来有了段位，经过无数个日夜的奋战，也才打到了三区钻五的段位。 后来毕业了，慢慢的，英雄联盟淡出了我生活，但是，回头想想，英雄联盟其实也给了我们一些人生的启发： 首先，英雄联盟是竞技类游戏，好比咱们找工作时候的激烈竞争，有实力的选手才能走上更高的段位，生活中也是如此，有本事的人才能应聘到跟高薪酬的岗位。 其次，在游戏中，我们通过不断的补兵升级，回城更新装备，来使我们的英雄更富有战斗力；而生活中其实也是这样，要通过不断的学习和积累工作经验，来提高我们的收入和职位的晋升。 最后，推倒敌方水晶才能获得游戏胜利，而这需要五个人的配合，共同的朝向一个目标去努力，才能使游戏推向胜利；而生活工作中，我们也成为一个团队，向着同一个目标努力着，最终一起完成这个目标。 游戏犹如生活，生活也充满戏剧，我们热爱电子竞技，同样也热爱生活，那么你们从游戏中还获取到了哪些人生启发呢？,2,0,1,16,2020-06-29 12:48:50
如何看待英雄联盟的医生系列皮肤?,前段时间看有人问王者荣耀会不会出关于疫情的皮肤，好多人说会被到打不进去，那英雄联盟呢？,1,0,0,26,2020-06-13 21:35:32
以英雄联盟为原型作短片侵权吗?,想做一个关于英雄联盟都恶搞短片，这样是不是要英雄联盟的授权才可以,1,0,0,6,2020-04-29 21:14:02
英雄联盟中服务器的刷新速度？,"本人在这领域几乎是小白，不过我敢肯定，这种即时游戏的服务器应该有一个刷新时间，一个刷新速度，肯定是处理一个个时间断面的。。。想请教大佬这方面的问题。。。纯属好奇，因为我看到英雄联盟观战时的延迟是7ms,看到这个数字我就突然悟了，刷新时间就是7ms吗？",1,0,0,10,2020-06-17 14:13:55
为什么现在英雄联盟总会出现一些掉分脚本？,为什么现在英雄联盟？总是有一些人鸡鸭，脚本呢？是因为没有人玩啊，还是怎样？游戏体验真差。一盘两脚本。而且一看就是同样的东西。同样的软件。,1,0,0,18,2020-05-31 20:12:13
￼英雄联盟，这个应该问题怎么解决?,英雄联盟，这个应该问题怎么解决?,1,0,0,17,2020-05-01 15:52:16
英雄联盟中如何让数据、评分好看？,平常和朋友经常打打英雄联盟，但他们总拿数据说话，就算好的操作也会被称为有手就行，所以只是想问一下如何打出一个优秀的数据，即使对整个队伍没有好处。挺反感的，但也没有办法,2,0,0,54,2020-04-15 14:48:12
英雄联盟手游怎么下载游戏？,今天早上收到英雄联盟官方发来的邮件 如下图 怎么下载游戏啊 ,1,0,0,84,2020-04-28 11:44:13
英雄联盟预约资格？,英雄联盟手游发的邮件是啥意思啊？,1,0,0,11,2020-06-19 17:40:49
英雄联盟，电脑游戏，卡?,电脑有四五年了吧，当时买时候要求就是，联盟不卡，而且，听说联盟对配置要求不高。但是，为何现在玩一会就感觉卡卡卡呢，配置请大神们看下，是配置问题，还是哪里需要设置一下，这个没问题吧？,1,0,0,1,2020-06-28 15:45:34
男朋友不喜欢英雄联盟怎么办?,本人lol爱好者，女。曾经一度想让男朋友陪我玩，但男朋友尝试了大约一个下午后，以鼠标键位无法移动，新手体验不友好，对线期太久等等理由拒绝练习英雄联盟。我建议男票先用简单的法师类练手，但男票要用锐雯ez，然后说要自己走a，这样以至于可能上手太难所以导致放弃。他说他要玩就玩最强的但是他又找到很多理由说这个游戏不友好。有什么让男票可以快速入门并喜欢英雄联盟的方法？真的很希望能一起遨游峡谷,1,0,0,22,2020-04-27 01:32:50
英雄联盟裁决之镰不管大乱斗挂机玩家？,想玩玩英雄联盟，但没有精力去打峡谷了，很长一段时间就是打打大乱斗消遣一下，可最近每隔两三盘就遇见一个挂机玩家，裁决之镰的人都还活着吧？,6,0,5,103,2020-06-22 15:29:06
